"address","fuels","chain","brand","price"
"{""street"":""Vaajakoskentie 850"",""city"":""Jyväskylä"",""zipcode"":""40800"",""country"":""Finland""}","[""95"",""98"",""dsl+""]","ABC","Liikennemyymälä","[{""tag"":""95"",""price"":1.969},{""tag"":""98"",""price"":2.069},{""tag"":""dsl+"",""price"":1.879}]"
"{""street"":""Karjalantie 1"",""city"":""Juuka"",""zipcode"":""83900"",""country"":""Finland""}","[""95"",""98"",""dsl+""]","ABC","Liikennemyymälä","[{""tag"":""95"",""price"":1.772},{""tag"":""98"",""price"":1.852},{""tag"":""dsl+"",""price"":1.673}]"
"{""street"":""Martinniementie"",""city"":""Oulu"",""zipcode"":""90830"",""country"":""Finland""}","[""95"",""98"",""dsl""]","ABC","Automaatti","[{""tag"":""95"",""price"":1.681},{""tag"":""98"",""price"":1.781},{""tag"":""dsl"",""price"":1.581}]"
"{""street"":""Piirantie 1"",""city"":""Alavus"",""zipcode"":""63300"",""country"":""Finland""}","[""95"",""98"",""dsl+"",""85""]","ABC","Lähi-ABC","[{""tag"":""dsl+"",""price"":1.859},{""tag"":""95"",""price"":1.949},{""tag"":""98"",""price"":2.049},{""tag"":""85"",""price"":1.325}]"
"{""street"":""Varsitie 2"",""city"":""Pudasjärvi"",""zipcode"":""93100"",""country"":""Finland""}","[""95"",""98"",""dsl+"",""85""]","ABC","Liikennemyymälä","[{""tag"":""dsl+"",""price"":1.863},{""tag"":""95"",""price"":1.933}]"
"{""street"":""Oikotie 8"",""city"":""Ähtäri"",""zipcode"":""63700"",""country"":""Finland""}","[""95"",""98"",""dsl""]","ABC","Lähi-ABC","[{""tag"":""dsl"",""price"":1.725},{""tag"":""95"",""price"":1.824},{""tag"":""98"",""price"":1.924}]"
"{""street"":""Pyhtääntie 38-40"",""city"":""Pyhtää"",""zipcode"":""49270"",""country"":""Finland""}","[""95"",""98"",""dsl+""]","ABC","Liikennemyymälä","[{""tag"":""95"",""price"":1.719},{""tag"":""98"",""price"":1.819},{""tag"":""dsl+"",""price"":1.629}]"
"{""street"":""Suviojantie 19"",""city"":""Kouvola"",""zipcode"":""45610"",""country"":""Finland""}","[""95"",""98"",""dsl+""]","ABC","Liikennemyymälä","[{""tag"":""95"",""price"":1.929},{""tag"":""dsl+"",""price"":1.529},{""tag"":""98"",""price"":1.716}]"
"{""street"":""Valtatie 36"",""city"":""Aura"",""zipcode"":""21380"",""country"":""Finland""}","[""95"",""98"",""dsl""]","ABC","Liikennemyymälä","[{""tag"":""dsl"",""price"":1.668},{""tag"":""95"",""price"":1.774},{""tag"":""98"",""price"":1.884}]"
"{""street"":""Simolanmutka 1"",""city"":""Lahti"",""zipcode"":""15680"",""country"":""Finland""}","[""95"",""98"",""dsl+""]","ABC","Liikennemyymälä","[{""tag"":""95"",""price"":1.699},{""tag"":""98"",""price"":1.799},{""tag"":""dsl+"",""price"":1.599}]"
